freq_Hz,omega_rad_s,Zmot_real_ohm,Zmot_imag_ohm,Zblocked_real_ohm,Zblocked_imag_ohm,radiated_power_far_W,radiated_power_boundary_flux_W,Rac_far_ohm,Rac_boundary_flux_ohm,Rinternal_far_ohm,eta_far,efficiency_odds_far,odds_identity_residual_ohm,A0_estimate_real_ohm_s,A0_estimate_imag_ohm_s,Ainf_estimate_real_ohm_per_s,Ainf_estimate_imag_ohm_per_s,axis_SPL_dB,solve_seconds
1.0,6.283185307179586,0.0019799780076861294,0.2325866019943856,5.565248120235789,0.011699291817499659,1.6338113149734243e-09,-6.185757266311563e-08,3.2676226299468485e-09,-1.2371514532623126e-07,0.0019799747400634994,5.869388809446879e-10,5.869388812891852e-10,0.0,0.03701730740435375,-0.00031512328713649026,1.46138472029795,-0.012440568726432198,24.283354947219415,49.819056159999946
1.1277196314487035,7.085671418936472,0.002515088462616211,0.26231331222758286,5.5652689922140475,0.013191484251245464,2.6455775415659754e-09,-9.821622775288993e-08,5.291155083131951e-09,-1.9643245550577987e-07,0.002515083171461128,9.503161412985156e-10,9.503161422016163e-10,0.0,0.037020247866214905,-0.0003549541481551955,1.8586659392575429,-0.017821090435656557,26.376515186394037,50.61522029900016
1.2717515671547996,7.99065076112965,0.003195296453398413,0.2958391522225423,5.56529524311,0.01487350547729653,4.2837293436410534e-09,-1.5559341034529448e-07,8.567458687282107e-09,-3.1118682069058895e-07,0.0031952878859397254,1.5385603381044525e-09,1.5385603404716205e-09,0.0,0.037023161325188375,-0.00039987937765242654,2.363947346879008,-0.025532498037382896,28.469496599265746,50.52570948599987
1.4341792086061216,9.01121373137643,0.004060634132658461,0.3336759795955212,5.565328204979024,0.01676934946827144,6.936975938466936e-09,-2.4573966824588577e-07,1.3873951876933872e-08,-4.914793364917715e-07,0.004060620258706584,2.4911085000031652e-09,2.491108506208787e-09,0.0,0.037028971850227486,-0.0004506201110866576,3.006825569161642,-0.03659124205430774,30.562937748728622,51.24632073900011
1.6173520485606887,10.162122628053323,0.005161188143696827,0.3763624772854996,5.565369524882999,0.01890600267959109,1.1234100290586035e-08,-3.8651997421521546e-07,2.246820058117207e-08,-7.730399484304309e-07,0.005161165675496245,4.033403949937866e-09,4.033403966206213e-09,0.0,0.03703581338868338,-0.0005078848516794089,3.8246416467731805,-0.05244862682270205,32.6565756234242,50.874882240999796
1.8239196561256654,11.460025184844824,0.006561283284424453,0.42452748354815045,5.56542123822998,0.02131380808257481,1.819632801022294e-08,-6.048655117683182e-07,3.639265602044588e-08,-1.2097310235366365e-06,0.006561246891768432,6.531365789452396e-09,6.531365832111135e-09,0.0,0.03704420162265977,-0.0005725365501902513,4.8650956531206,-0.0751924716844056,34.750989508108454,49.76081881800019
2.0568700023980817,12.923695377846068,0.008342780015113802,0.47887913472023796,5.565485860022697,0.024026870284561585,2.94834632562729e-08,-9.407303099368075e-07,5.89669265125458e-08,-1.881460619873615e-06,0.00834272104818729,1.0579249977111924e-08,1.0579250089032456e-08,-1.734723475976807e-18,0.037054350224095936,-0.00064554136964688,6.188888059930863,-0.10781954751971279,36.84690364708531,50.69188137099991
2.319572681042258,14.574304988459877,0.01061115183150576,0.5402449700404139,5.565566498245118,0.02708350462030515,4.780108331431143e-08,-1.4524130684805826e-06,9.560216662862286e-08,-2.904826136961165e-06,0.01061105622933913,1.7144749078664875e-08,1.71447493726073e-08,0.0,0.037068317869578475,-0.0007280725797839284,7.8736949618503616,-0.15465016307121954,38.94547397853629,50.53456041399977
2.6158276489834567,16.435729850206975,0.013499674176243816,0.6095255161066887,5.565666994254751,0.03052673257524423,7.755074789671099e-08,-2.2226058077974367e-06,1.5510149579342198e-07,-4.4452116155948735e-06,0.013499519074748023,2.7800118729387326e-08,2.780011950223395e-08,0.0,0.037085393935153595,-0.0008213614058686791,10.017996719537516,-0.22187699782655876,41.046947345400255,50.85879286299996
2.949920192244952,18.534895209265862,0.017180180416522358,0.6877772197357922,5.565792095651578,0.03440482502643879,1.2590918746213084e-07,-3.3653534078421334e-06,2.5181837492426167e-07,-6.730706815684267e-06,0.017179928598147435,4.510471527929723e-08,4.510471731373266e-08,-3.469446951953614e-18,0.03710715447649051,-0.0009269100376641859,12.747878695123129,-0.3184328436965234,43.15166456832951,50.77116111700025
