freq_Hz,omega_rad_s,Zmot_real_ohm,Zmot_imag_ohm,Zblocked_real_ohm,Zblocked_imag_ohm,radiated_power_far_W,radiated_power_boundary_flux_W,Rac_far_ohm,Rac_boundary_flux_ohm,Rinternal_far_ohm,eta_far,efficiency_odds_far,odds_identity_residual_ohm,A0_estimate_real_ohm_s,A0_estimate_imag_ohm_s,Ainf_estimate_real_ohm_per_s,Ainf_estimate_imag_ohm_per_s,axis_SPL_dB,solve_seconds,useful_efficiency_budget_ohm,internal_loss_penalty_budget_ohm,cumulative_moment_0,cumulative_moment_2,cumulative_useful_moment_0,cumulative_internal_moment_0,cumulative_useful_moment_2,cumulative_internal_moment_2
1.0,6.283185307179586,0.0019932880665952,0.2329950803704688,5.565248120235789,0.0116992918174996,1.6369516280168163e-09,-6.19764626013299e-08,3.2739032560336327e-09,-1.239529252026598e-07,0.0019932847926919,5.880656174081631e-10,5.880656177539841e-10,0.0,0.0370823187570535,-0.0003172416488047,1.463951265628857,-0.0125241982930075,24.291694977771662,53.58231146399999,3.272731073780658e-09,0.0019932847938640822,0.0,0.0,0.0,0.0,0.0,0.0
1.1277196314487037,7.085671418936472,0.0025295502015793,0.2627663838922702,5.565268992214048,0.0131914842512454,2.650508786776548e-09,-9.839928936605772e-08,5.301017573553096e-09,-1.9679857873211545e-07,0.0025295449005617,9.520850176546103e-10,9.52085018561076e-10,0.0,0.0370841898186284,-0.0003569951317272,1.861876256202748,-0.0179235615660957,26.384603280791147,54.488444578999975,5.298609231749493e-09,0.002529544902970042,0.0011553104734266788,2.5766990880541057e-05,2.189456849687457e-09,0.0011553082839698113,4.813371355134733e-11,2.576694274682709e-05
1.2717515671547996,7.99065076112965,0.0032108558450777,0.2963403951736275,5.56529524311,0.0148735054772965,4.291431710168159e-09,-1.558731590397783e-07,8.582863420336317e-09,-3.117463180795566e-07,0.0032108472622143,1.541322442287866e-09,1.5413224446635406e-09,0.0,0.0370858900022472,-0.0004018265772165,2.367952604247608,-0.0256568277023482,28.477298989317696,55.08237084999996,8.577914469384677e-09,0.003210847267163251,0.0028089140627046514,5.476631532964029e-05,6.1867819887792075e-09,0.0028089078759226433,1.1723434519645163e-10,5.476619809529462e-05
1.4341792086061216,9.01121373137643,0.0040769775531591,0.3342211899372551,5.565328204979024,0.0167693494682714,6.9486105900375375e-09,-2.461517935993412e-07,1.3897221180075072e-08,-4.923035871986824e-07,0.0040769636559379,2.4952792487898268e-09,2.495279255016245e-09,0.0,0.0370894753914802,-0.0004524337869119,3.0117385760795625,-0.0367385161095414,30.570216169358734,55.71109608699999,1.3887048017240956e-08,0.004076963666111062,0.0051764052430362025,8.741263193553958e-05,1.3484643732769258e-08,0.005176391758392451,2.1643291344643968e-10,8.741241550262568e-05
1.6173520485606887,10.162122628053323,0.0051778384023677,0.376947849727109,5.565369524882999,0.018906002679591,1.1251173686409049e-08,-3.871073552151294e-07,2.2502347372818097e-08,-7.742147104302588e-07,0.0051778159000203,4.0395217750283684e-09,4.039521791346104e-09,0.0,0.03709341675198,-0.0005095233143589,3.830590273307898,-0.0526178287931048,32.66317150996939,55.07965751300003,2.2481431472658387e-08,0.0051778159209362,0.008566867086697572,0.000124174439344259,2.680807907875783e-08,0.008566840278618457,3.5883768291137025e-10,0.00012417408050657545
1.8239196561256652,11.460025184844824,0.0065775048379515,0.4251487977080026,5.56542123822998,0.0213138080825748,1.8220637038833173e-08,-6.056734967211351e-07,3.6441274077666353e-08,-1.2113469934422705e-06,0.0065774683966774,6.540072199944871e-09,6.540072242717415e-09,0.0,0.0370984173987885,-0.0005739520404064,4.872215929040207,-0.0753783710963634,34.75678807113289,55.04233773600004,3.639825695917788e-08,0.006577468439694518,0.013423413345213289,0.00016557985137971305,5.113335182582914e-08,0.013423362211861406,5.632755199992491e-10,0.00016557928810419226
2.0568700023980817,12.923695377846068,0.0083571919830513,0.4795226370200822,5.565485860022697,0.0240268702845615,2.9515778351047732e-08,-9.417612725216278e-07,5.9031556702095465e-08,-1.883522545043256e-06,0.0083571329514946,1.0590817888360338e-08,1.0590818000525764e-08,0.0,0.0371041426620194,-0.0006466565280838,6.197204487628994,-0.1080058034031324,36.851661650286815,55.86308562499994,5.8943047828e-08,0.008357133040003474,0.02038149893706561,0.0002122255810649272,9.555293175430331e-08,0.020381403384133787,8.568174749728586e-10,0.00021222472424745138
2.319572681042258,14.574304988459875,0.010621414319765,0.5408873507474021,5.565566498245118,0.0270835046203051,4.783866276290323e-08,-1.4535547158106898e-06,9.567732552580645e-08,-2.90710943162138e-06,0.0106213186424395,1.7158196069794516e-08,1.7158196364198214e-08,0.0,0.0371123941193548,-0.0007287767291939,7.88305721419271,-0.1547997317050514,38.94888746303885,55.35870729299995,9.549508285489277e-08,0.010621318824682171,0.03035296036243178,0.00026478751224346764,1.7669555298469383e-07,0.03035278366687874,1.2784470562858232e-09,0.00026478623379641054
2.6158276489834567,16.435729850206975,0.0135020348672805,0.6101307392494509,5.565666994254751,0.0305267325752442,7.758125178592494e-08,-2.2234797491556754e-06,1.5516250357184988e-07,-4.446959498311351e-06,0.0135018797047769,2.78110418884848e-08,2.7811042661938878e-08,0.0,0.0371222175595547,-0.000821505037521,10.027944003611047,-0.2219157975066985,41.048655830750846,55.370375818999946,1.5478700221936399e-07,0.013501880080278252,0.04464634369351039,0.0003240308587717525,3.249901751645545e-07,0.04464601870333517,1.8843363047088396e-09,0.000324028974435447
2.949920192244952,18.534895209265866,0.017168641830782,0.6882910629383652,5.565792095651578,0.0344048250264387,1.2589670837169958e-07,-3.3650193687451924e-06,2.517934167433991e-07,-6.730038737490385e-06,0.0171683900373652,4.510033807920805e-08,4.510034011324863e-08,-3.469446951953614e-18,0.0371348774928211,-0.0009262875045659,12.757402725036812,-0.318218977218963,43.15123467285194,55.37875540099992,2.5101911651351706e-07,0.01716839081166543,0.06514003245672398,0.00039082144090706885,5.96143771721644e-07,0.06513943631295216,2.7554367151155155e-09,0.0003908186854703527
