freq_Hz,omega_rad_s,Zmot_real_ohm,Zmot_imag_ohm,Zblocked_real_ohm,Zblocked_imag_ohm,radiated_power_far_W,radiated_power_boundary_flux_W,Rac_far_ohm,Rac_boundary_flux_ohm,Rinternal_far_ohm,eta_far,efficiency_odds_far,odds_identity_residual_ohm,A0_estimate_real_ohm_s,A0_estimate_imag_ohm_s,Ainf_estimate_real_ohm_per_s,Ainf_estimate_imag_ohm_per_s,axis_SPL_dB,solve_seconds,cumulative_moment_0,cumulative_moment_2
1.0,6.283185307179586,0.0019937249127104815,0.23302134402212507,5.565248120235789,0.011699291817499685,1.6373212490238794e-09,-6.199045678436162e-08,3.2746424980477588e-09,-1.2398091356872323e-07,0.0019937216380679834,5.881983555108897e-10,5.88198355856867e-10,0.0,0.03708649874703828,-0.0003173111750233307,1.4641162850190559,-0.0125269430781004,24.292675496849462,44.72040691800066,0.0,0.0
5.0,31.41592653589793,0.049846418433090005,1.1741059518779557,5.566812707952184,0.058083103716465065,1.065760059492805e-06,-1.7359041349956334e-05,2.13152011898561e-06,-3.471808269991267e-05,0.04984428691297102,3.794996404486091e-07,3.7949978446864087e-07,0.0,0.03737295319099833,-0.0015866607778106485,36.88562632955837,-1.5659714195715841,52.42768516348262,44.207753014001355,0.41472114676640387,0.0008080529853038389
10.0,62.83185307179586,0.21014140340202397,2.4060497538365193,5.570830985471577,0.11487123084589115,1.8383468152532e-05,-8.030738503784676e-05,3.6766936305064e-05,-0.0001606147700756935,0.21010463646571892,6.359991681646466e-06,6.3600321313979165e-06,-2.7755575615628914e-17,0.038293471164812,-0.003344504309970015,151.1765646164868,-13.203573782856953,64.79404076153159,44.604262920998735,3.0145993651175433,0.0018453971900249076
20.0,125.66370614359172,1.0584068789288084,5.315325249813053,5.583056866437343,0.22394662052058403,0.0003625886328571794,-9.582168247094487e-05,0.0007251772657143589,-0.00019164336494188974,1.057681701663094,0.00010918937353536348,0.00010920129715658925,2.220446049250313e-16,0.04229801438244554,-0.008422534329199254,667.9434702501209,-133.00333101406585,77.74571265639185,44.296861899998476,28.38556501173419,0.004250473948125902
35.0,219.9114857512855,6.752041924895397,11.87168997269423,5.6058503631409025,0.37793277984763235,0.007004098408277898,0.005229657105113519,0.014008196816555796,0.010459314210227038,6.738033728078841,0.001133542556453349,0.0011348289333435887,-8.881784197001252e-16,0.053983946914536424,-0.030703452808880528,2610.7209802738266,-1484.8515715587164,90.60584728230754,44.54841656200006,262.69902912646035,0.010449725578353256
45.0,282.7433388230814,21.35835314037016,11.455872565896623,5.6219790761701915,0.4758332405896229,0.03646732340550723,0.032560553348663174,0.07293464681101446,0.06512110669732635,21.285418493559146,0.002703252362708185,0.0027105797438049346,0.0,0.0405168610287396,-0.0755397217464937,3239.0716584133515,-6038.932078670704,97.77226392609694,44.59269280800072,824.9069304317716,0.01858541430031417
50.0,314.1592653589793,27.385927437484593,1.1342593826635805,5.630096708340111,0.5236848930146345,0.057613878352489274,0.05275162908120225,0.11522775670497855,0.1055032581624045,27.270699680779614,0.003490055501414775,0.0035022786482786874,0.0,0.0036104597499854096,-0.08717211445663271,356.33809438411987,-8603.542844934474,99.75902017146726,43.22526302099868,1312.3497362103194,0.024031860020254578
55.0,345.57519189487726,23.52318015932701,-9.495668509875937,5.638199322271805,0.5709170604404513,0.0597604869914878,0.055313134579349846,0.1195209739829756,0.11062626915869969,23.403659185344033,0.004098604939399207,0.004115472635872557,0.0,-0.02747786511470559,-0.06806964362905621,-3281.46746747052,-8129.0274975372,99.91846326610448,43.54734300900236,1821.4408121784354,0.028776383741194244
80.0,502.6548245743669,4.628286853741859,-10.142337638584737,5.677973619507058,0.7999772904616619,0.024552266147935965,0.023067820887782947,0.04910453229587193,0.046135641775565894,4.579182321445987,0.004764534374357061,0.0047873438386381185,0.0,-0.020177539621096773,-0.00920768413525316,-5098.09494649681,-2326.4307165474625,96.05886595873082,43.291599578002206,3229.014162831879,0.039541034708193486
100.0,628.3185307179587,2.1794763602644394,-7.248873519983865,5.708844489493705,0.9772506674121803,0.017775115861919183,0.01692133360708237,0.035550231723838366,0.03384266721416474,2.143926128540601,0.004506691905784782,0.004527094124231181,0.0,-0.01153694052553379,-0.00346874436088018,-4554.601559436579,-1369.4053844158768,94.65992039738455,44.04500393700073,3501.3246913921307,0.04049458605501315
