freq_Hz,omega_rad_s,Zmot_real_ohm,Zmot_imag_ohm,Zblocked_real_ohm,Zblocked_imag_ohm,radiated_power_far_W,radiated_power_boundary_flux_W,Rac_far_ohm,Rac_boundary_flux_ohm,Rinternal_far_ohm,eta_far,efficiency_odds_far,odds_identity_residual_ohm,A0_estimate_real_ohm_s,A0_estimate_imag_ohm_s,Ainf_estimate_real_ohm_per_s,Ainf_estimate_imag_ohm_per_s,axis_SPL_dB,solve_seconds,useful_efficiency_budget_ohm,internal_loss_penalty_budget_ohm,cumulative_moment_0,cumulative_moment_2,cumulative_useful_moment_0,cumulative_internal_moment_0,cumulative_useful_moment_2,cumulative_internal_moment_2
2960.573579251934,18601.83241397983,0.3705449988857695,0.4595845342632836,10.940462520116224,18.66969319328673,0.016622634039563714,0.01660741986272418,0.03324526807912743,0.03321483972544836,0.3372997308066421,0.0029391960020605456,0.0029478603413905934,0.0,2.470641192949852e-05,-1.9919811695932382e-05,8549.114486422573,-6892.815971111429,102.82276282962547,52.75604100700002,0.032250955579520804,0.33829404330624874,0.0,0.0,0.0,0.0,0.0,0.0
3338.6969456707607,20977.651594163886,0.8339560551929399,0.27561091364367674,11.668018244113597,20.56593961032402,0.054085361163831,0.054021505127975794,0.108170722327662,0.10804301025595159,0.7257853328652779,0.008652291209210216,0.008727806734696517,0.0,1.3138311140621357e-05,-3.975450023323639e-05,5781.66972196624,-17494.439570680803,108.72522886003063,53.49120587000016,0.10183620821153648,0.7321198469814034,910.8999868465338,2.24298268600075e-06,101.40297953245437,809.4970073140793,2.4549028553526414e-07,1.997492400465486e-06
3765.114089090741,23656.909524429793,0.815589983580575,-0.1408167537588234,12.48613669683808,22.63672401886028,0.04211383076318413,0.04212956245376379,0.08422766152636826,0.08425912490752759,0.7313623220542067,0.006332084815000672,0.006372435617810781,0.0,-5.9524577212169705e-06,-3.4475762049068126e-05,-3331.2892031963943,-19294.338450596842,108.40031894615736,53.427496742000585,0.07956710221578524,0.7360228813647898,2317.6894064336243,5.102034043468853e-06,256.1099424111471,2061.579464022477,5.640976784327226e-07,4.537936365036129e-06
4245.99307291173,26678.361290105287,0.7330050865306246,-0.10548656722885681,13.404604810094284,24.89652410273565,0.02459924048799121,0.0245784998400829,0.04919848097598242,0.0491569996801658,0.6838066055546421,0.0034799716031015714,0.003492124095789425,0.0,-3.95401224542156e-06,-2.7475641346925166e-05,-2814.2087517844225,-19555.37452594889,106.79740499474919,53.16883036299987,0.04681054345186508,0.6861945430787595,3807.063053764161,7.494126204803681e-06,377.6546500638447,3429.408403700316,7.640882822220475e-07,6.730037922581632e-06
4788.289743317765,30085.711761732895,0.7873000484247296,-0.579741534322076,14.434319830396095,27.361001787033892,0.022231466970210795,0.022237017225441254,0.04446293394042159,0.04447403445088251,0.742837114484308,0.0029210382531156733,0.0029295957142632,0.0,-1.9269663251227124e-05,-2.6168569806818565e-05,-17441.936697918754,-23686.482326904763,107.18361440167554,52.86508906400013,0.04228672151343272,0.7450133269112968,5455.975879139132,9.554512431498415e-06,474.28895032977516,4981.686928809357,8.860915199934427e-07,8.668420911504973e-06
5399.848344603918,33928.24777981335,0.4390542694041423,-0.5954916529484693,15.587493629307435,30.047047558649847,0.012342849476021598,0.012322519191397475,0.024685698952043197,0.02464503838279495,0.4143685704520991,0.0015403004507307375,0.0015426766362488834,0.0,-1.755150035489824e-05,-1.2940670330324903e-05,-20203.988352046283,-14896.342041128664,106.15762320999607,52.925710954999886,0.024046462239610895,0.41500780716453145,6955.95094172445,1.1084893136066353e-05,555.4222084795126,6400.528733244937,9.687833267201362e-07,1.011610980934622e-05
7744.350225457122,48659.18755024511,0.049830326918024796,-0.27873820922151665,19.93450798049381,39.62155904523803,0.002236131279487797,0.0022279711538651303,0.004472262558975594,0.004455942307730261,0.045358064359049204,0.00022378837318406047,0.00022383846563013985,0.0,-5.728377789573525e-06,-1.0240682063704902e-06,-13563.174799929238,-2424.7032231941957,96.0291748639637,53.05492976699952,0.004462109679445512,0.045368217238579284,9248.332652919411,1.2972023029342551e-05,689.0990094488458,8559.233643470565,1.0755710552560753e-06,1.1896451974086478e-05
8733.455782062187,54873.921050755736,0.07833500885420328,-0.13156652071302335,21.738057293897864,43.3862207914816,0.0024564816618091808,0.0024428806972896845,0.0049129633236183615,0.004885761394579369,0.07342204553058491,0.00022519595611592515,0.00022524668075756029,0.0,-2.397614717405207e-06,-1.427545313952454e-06,-7219.570870529063,-4298.549091375802,92.07088659362056,53.324983721000535,0.004896425251568167,0.07343858360263511,9501.87074447234,1.306511910109984e-05,707.6121672527422,8794.258577219598,1.0825158859295023e-06,1.1982603215170339e-05
9848.889535820716,61882.3980235035,0.1131478876194848,-0.24072319191608638,23.7537774112061,47.473479682409845,0.001996102344036689,0.0019781285655920823,0.003992204688073378,0.003956257131184165,0.10915568293141142,0.00016726933352700533,0.00016729731723776054,1.3877787807814457e-17,-3.8900107236416e-06,-1.8284341142777013e-06,-14896.528375639477,-7001.862617187602,96.45639764862719,53.07545443500021,0.003973943235157698,0.10917394438432709,9929.043716460743,1.3189070388173899e-05,727.4007840894823,9201.64293237126,1.088458552896759e-06,1.210061183527714e-05
11106.786077514736,69785.99509222739,0.05044574916692673,0.008309989745783156,26.006193362027904,51.90590740082102,0.0012873487052997687,0.0012917241245513963,0.0025746974105995374,0.0025834482491027926,0.04787105175632719,9.881156965839691e-05,9.882133434955972e-05,0.0,1.1907818660178e-07,-7.228635072160097e-07,579.9209036156832,-3520.4068037868824,91.85292556367736,53.02704693099986,0.00256996672938826,0.04787578243753847,10340.611456374292,1.328946363095659e-05,743.8639075166011,9596.747548857691,1.0923968807894155e-06,1.2197066750167173e-05
12525.340701914516,78699.03666568773,0.2887175538129011,0.42631973249579175,28.52234780492516,56.70653314901286,0.004817542969368841,0.004878910893430098,0.009635085938737681,0.009757821786860197,0.2790824678741634,0.00033442310510796403,0.00033453498133518937,0.0,5.417089592936077e-06,-3.6686288173941534e-06,33550.952258992496,-22721.793353549172,95.17309980954523,41.53787286399984,0.009541723090556418,0.2791758307223447,11302.854800111769,1.3451105715895733e-05,778.2260947233576,10524.628705388412,1.0982648678438679e-06,1.2352840848051864e-05
14125.072600132477,88750.44862399733,0.21498663231397025,-0.5548114672077611,31.331914476625318,61.89875621794672,0.002113980220679818,0.0020801338276591405,0.004227960441359636,0.004160267655318281,0.2107586718726106,0.00013402141867308734,0.00013403938282133114,0.0,-6.251365213468284e-06,-2.422372344558941e-06,-49239.76661642698,-19080.160066027223,85.91789119010856,41.12253738799973,0.004199710479057588,0.21078692183491265,12914.438107737917,1.368757849694964e-05,822.1913139404668,12092.246793797449,1.104899847348373e-06,1.2582678649601265e-05
