case,Ainf_ohm_per_s,A0_ohm_s,M0_1_15k_ohm_per_s,M0_relative_to_baseline,M0_fraction_of_Ainf,M2_1_15k_ohm_s,M2_fraction_of_A0,useful_M0_ohm_per_s,internal_M0_ohm_per_s,useful_fraction_of_M0,M0_q25_Hz,M0_q50_Hz,M0_q75_Hz,minimum_Re_Zmot_ohm,minimum_Rinternal_ohm,passivity_pass,internal_loss_pass,base_grid_points,adaptive_points,adaptive_M0_relative_correction,posterior_M0_indicator_fraction
baseline_1p0,56776.26805263969,0.037076039788194994,20324.728970765405,1.0,0.35797930487297064,0.03690335627613499,0.9953424499205822,848.8964342041628,19475.832536561204,0.04176667917319807,2258.198075016854,3628.306361827543,8627.035023631513,0.0019937249127104,0.0019937216380679,True,True,321,66,0.0010417239653961626,0.015411773644882052
cone_density_0p5,56776.26805263969,0.037076039788194994,23843.329950913892,1.173119207897412,0.41995239857624544,0.03688356278551559,0.9948085878702534,2164.409861330435,21678.9200895834,0.09077632469064897,654.3280277890267,3743.917672609618,11719.404566409556,0.001993288066595231,0.0019932847926919747,True,True,81,20,0.12442848418615579,0.1567582851546017
cone_density_2p0,56776.26805263969,0.037076039788194994,18844.267169593593,0.927159579677482,0.33190394183926064,0.037198546178090194,1.003304192966537,421.9419004960847,18422.325269097455,0.02239099545228877,2455.2680251397396,4029.0519648340196,8290.17799728615,0.0019948068828318623,0.001994803606374498,True,True,81,18,-0.0017529601881689665,0.13322954674046578
cone_stiffness_0p5,56776.26805263969,0.037205572114894586,22591.68588793943,1.1115368829977885,0.3979072007162169,0.03727591866610741,1.0018907531107326,780.7160694038811,21810.96981853549,0.034557671936323545,1752.1401774191618,3084.5359083001977,8198.08148076755,0.0020177368085930155,0.0020177335207486515,True,True,81,14,-0.14398300276710546,0.16303930458177027
cone_stiffness_2p0,56776.26805263969,0.03700575307948649,20958.342517144443,1.0311745139278568,0.3691391356986175,0.03689580038335768,0.9970287675029167,1173.9719013567674,19784.370615787615,0.05601453933661163,3162.637488173052,4791.594640504394,12672.596937683902,0.0019799780076861294,0.0019799747400634994,True,True,81,12,-0.14100993362336228,0.17878133166003052
