freq_Hz,omega_rad_s,Zmot_real_ohm,Zmot_imag_ohm,Zblocked_real_ohm,Zblocked_imag_ohm,radiated_power_far_W,radiated_power_boundary_flux_W,Rac_far_ohm,Rac_boundary_flux_ohm,Rinternal_far_ohm,eta_far,efficiency_odds_far,odds_identity_residual_ohm,A0_estimate_real_ohm_s,A0_estimate_imag_ohm_s,Ainf_estimate_real_ohm_per_s,Ainf_estimate_imag_ohm_per_s,axis_SPL_dB,solve_seconds
1.0,6.283185307179586,0.0019948068828318623,0.23308581416057336,5.565248120235789,0.011699291817499659,1.6382286820018072e-09,-6.202481301231075e-08,3.2764573640036144e-09,-1.240496260246215e-07,0.001994803606374498,5.885242312749906e-10,5.885242316213514e-10,0.0,0.037096759488254145,-0.0003174833759164262,1.464521362845706,-0.012533741296869868,24.295081768351974,54.040392338999936
1.1277196314487035,7.085671418936472,0.002532038818748606,0.26289782060758643,5.5652689922140475,0.013191484251245464,2.6531649646425584e-09,-9.8497899114061e-08,5.306329929285117e-09,-1.96995798228122e-07,0.002532033512418677,9.530387130771486e-10,9.530387139854314e-10,0.0,0.037102739467284845,-0.00035734634998480554,1.862807573579863,-0.017941195089644663,26.388953334985715,54.16256625599999
1.2717515671547996,7.99065076112965,0.0032149967836296307,0.29653372258993044,5.56529524311,0.01487350547729653,4.29704133667792e-09,-1.5607691159631948e-07,8.59408267335584e-09,-3.1215382319263895e-07,0.0032149881895469573,1.5433360635285471e-09,1.5433360659104334e-09,4.336808689942018e-19,0.037110084203956506,-0.00040234480015932043,2.369497416113836,-0.025689916496139484,28.482972244644746,53.801127325999914
1.4341792086061216,9.01121373137643,0.004083642088581579,0.3344969332706169,5.565328204979024,0.01676934946827144,6.960098576522042e-09,-2.465587509918191e-07,1.3920197153044083e-08,-4.931175019836382e-07,0.004083628168384426,2.4994016487348326e-09,2.4994016549818412e-09,0.0,0.03712007541291818,-0.00045317336935008173,3.0142233581914883,-0.036798571662653046,30.577390336140503,53.40289671100004
1.6173520485606887,10.162122628053323,0.005188585115514261,0.37734148274766854,5.565369524882999,0.01890600267959109,1.1274721579569444e-08,-3.879175429244864e-07,2.2549443159138887e-08,-7.758350858489728e-07,0.005188562566071102,4.047968392729845e-09,4.0479684091158934e-09,0.0,0.03713215206693022,-0.0005105808407773757,3.8345904203332752,-0.05272703820994814,32.67225148037312,53.7961210630001
1.8239196561256654,11.460025184844824,0.006594960463481609,0.42571523698006836,5.56542123822998,0.02131380808257481,1.8269300452391684e-08,-6.072911207345752e-07,3.653860090478337e-08,-1.2145822414691504e-06,0.006594923924880705,6.557518787068676e-09,6.557518830069729e-09,-8.673617379884035e-19,0.037147844800816884,-0.0005754752155521471,4.878707337363766,-0.07557841300455513,34.76837168273278,56.214484317999904
2.0568700023980817,12.923695377846068,0.008385458894349695,0.4803347735395298,5.565485860022697,0.024026870284561585,2.961601087681266e-08,-9.449593962813853e-07,5.923202175362532e-08,-1.8899187925627707e-06,0.00838539966232794,1.0626729316946909e-08,1.0626729429874286e-08,1.734723475976807e-18,0.03716698355200516,-0.0006488437439282371,6.207700292611559,-0.10837111635402535,36.86638485494064,56.24651177800001
2.319572681042258,14.574304988459877,0.01066714231166718,0.5420517476399563,5.565566498245118,0.02708350462030515,4.804522159356945e-08,-1.4598309064398734e-06,9.60904431871389e-08,-2.9196618128797468e-06,0.010667046221223992,1.7232140792713323e-08,1.7232141089660006e-08,0.0,0.03719228793888696,-0.0007319143053554568,7.90002748963241,-0.15546618540554238,38.967599156647665,56.29219904600018
2.6158276489834567,16.435729850206975,0.013575978365973882,0.6117993886180786,5.565666994254751,0.03052673257524423,7.800698821099024e-08,-2.2356813612271116e-06,1.560139764219805e-07,-4.471362722454223e-06,0.01357582235199746,2.796328770544589e-08,2.796328848739137e-08,0.0,0.037223743283318456,-0.000826003985810397,10.055369473848533,-0.22313111287540105,41.072423106443374,55.586416193000105
2.949920192244952,18.534895209265862,0.01728847960047044,0.6906876462602226,5.565792095651578,0.03440482502643879,1.2677673825003793e-07,-3.3885411724479166e-06,2.5355347650007586e-07,-6.777082344895833e-06,0.01728822604699394,4.5414618879762304e-08,4.5414620942250003e-08,0.0,0.03726417864585163,-0.0009327530264011247,12.801823145767715,-0.32044015772225015,43.181486655873236,56.42593202900002
